"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Spain,13890555,,121416.0,,13718476.0,,50663.0,231,"297,320","2,599","471,036,328","10,082,298","46,719,142",Europe,3,385,0,,,"1,084"
Australia,11622345,,21062.0,,11567426.0,,33857.0,71,"445,834",808,"81,916,639","3,142,326","26,068,792",Australia/Oceania,2,"1,238",0,,,"1,299"
Vietnam,11616702,+575,43206.0,,10639075.0,+97,934421.0,22,"117,396",437,"85,826,548","867,342","98,953,541",Asia,9,"2,290",1,6,,"9,443"
Taiwan,10239998,,19005.0,,10220993.0,,0.0,,"428,656",796,"30,742,304","1,286,903","23,888,595",Asia,2,"1,257",1,,,
Argentina,10054251,,130509.0,,9923742.0,,0.0,363,"218,522","2,837","35,716,069","776,264","46,010,234",South America,5,353,1,,,
Netherlands,8610372,,22992.0,,8587380.0,,0.0,53,"500,270","1,336","25,984,435","1,509,718","17,211,447",Europe,2,749,1,,,
Mexico,7621062,,334167.0,,6869584.0,,417311.0,N/A,"57,927","2,540","20,013,810","152,124","131,562,772",North America,17,394,7,,,"3,172"
Iran,7612065,+64,146278.0,+5,7366948.0,+126,98839.0,93,"88,489","1,700","56,728,183","659,455","86,022,837",Asia,11,588,2,0.7,0.06,"1,149"
Indonesia,6809377,+247,161811.0,+7,6636636.0,+523,10930.0,N/A,"24,395",580,"114,158,919","408,975","279,134,505",Asia,41,"1,725",2,0.9,0.03,39
Poland,6517256,+57,119619.0,+2,5335940.0,,1061697.0,125,"172,689","3,170","38,753,907","1,026,871","37,739,785",Europe,6,315,1,2,0.05,"28,132"
Colombia,6368934,,142765.0,,6189718.0,,36451.0,342,"123,638","2,771","36,951,507","717,327","51,512,762",South America,8,361,1,,,708
Austria,6078537,+264,22513.0,,6051374.0,+157,4650.0,14,"670,424","2,483","211,273,524","23,302,116","9,066,710",Europe,1,403,0,29,,513
Greece,6067218,,36969.0,,6024843.0,"+1,082",5406.0,115,"588,100","3,583","102,228,365","9,909,078","10,316,637",Europe,2,279,0,,,524
Portugal,5588310,,26759.0,,5557629.0,"+1,401",3922.0,61,"551,084","2,639","46,139,518","4,549,993","10,140,570",Europe,2,379,0,,,387
Ukraine,5553031,,112352.0,,5437356.0,"+4,739",3323.0,,"128,566","2,601","32,603,805","754,855","43,192,122",Europe,8,384,1,,,77
Chile,5287715,+42,64497.0,,5223132.0,+32,86.0,19,"274,684","3,350","49,715,362","2,582,590","19,250,195",South America,4,298,0,2,,4
Malaysia,5104772,,37100.0,,5050356.0,,17316.0,36,"153,846","1,118","68,360,482","2,060,225","33,181,072",Asia,7,894,0,,,522
Israel,4826031,,12527.0,,4798473.0,,15031.0,21,"517,481","1,343","41,373,364","4,436,346","9,326,000",Asia,2,744,0,,,"1,612"
Belgium,4799762,,34350.0,,4761600.0,+290,3812.0,43,"411,351","2,944","37,018,657","3,172,590","11,668,278",Europe,2,340,0,,,327
DPRK,4772813,,74.0,,4772739.0,,0.0,,"183,636",3,,,"25,990,679",Asia,5,"351,225",,,,
Thailand,4745043,,34163.0,,4692636.0,,18244.0,N/A,"67,711",487,"17,270,775","246,450","70,078,203",Asia,15,"2,051",4,,,260
Canada,4681257,,52645.0,,4596709.0,"+7,833",31903.0,99,"121,945","1,371","66,343,123","1,728,207","38,388,419",North America,8,729,1,,,831
Czechia,4642316,+37,42805.0,,4598909.0,+8,602.0,1,"432,375","3,987","57,217,444","5,329,105","10,736,784",Europe,2,251,0,3,,56
Peru,4507363,,220673.0,,4286690.0,,0.0,26,"133,812","6,551","38,548,796","1,144,417","33,684,208",South America,7,153,1,,,
Switzerland,4405938,,14452.0,,4389875.0,+836,1611.0,39,"502,179","1,647","23,833,472","2,716,487","8,773,637",Europe,2,607,0,,,184
Philippines,4151079,+898,66481.0,,4072213.0,+944,12385.0,162,"36,896",591,"35,309,541","313,837","112,508,994",Asia,27,"1,692",3,8,,110
South Africa,4076463,,102595.0,,3912506.0,,61362.0,192,"67,095","1,689","26,795,090","441,027","60,756,135",Africa,15,592,2,,,"1,010"
