"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Mexico,7621062,,334167,,6869584,,417311,,"57,927","2,540","20,013,810","152,124","131,562,772",North America,17,394,7,,,"3,172"
Iran,7612065,64,146278,5,7366948,126,98839,93,"88,489","1,700","56,728,183","659,455","86,022,837",Asia,11,588,2,0.7,0.06,"1,149"
Indonesia,6809377,247,161811,7,6636636,523,10930,,"24,395",580,"114,158,919","408,975","279,134,505",Asia,41,"1,725",2,0.9,0.03,39
Poland,6517256,57,119619,2,5335940,,1061697,125,"172,689","3,170","38,753,907","1,026,871","37,739,785",Europe,6,315,1,2,0.05,"28,132"
Colombia,6368934,,142765,,6189718,,36451,342,"123,638","2,771","36,951,507","717,327","51,512,762",South America,8,361,1,,,708
Austria,6078537,264,22513,,6051374,157,4650,14,"670,424","2,483","211,273,524","23,302,116","9,066,710",Europe,1,403,0,29,,513
Greece,6067218,,36969,,6024843,"1,082",5406,115,"588,100","3,583","102,228,365","9,909,078","10,316,637",Europe,2,279,0,,,524
Portugal,5588310,,26759,,5557629,"1,401",3922,61,"551,084","2,639","46,139,518","4,549,993","10,140,570",Europe,2,379,0,,,387
Ukraine,5553031,,112352,,5437356,"4,739",3323,,"128,566","2,601","32,603,805","754,855","43,192,122",Europe,8,384,1,,,77
Chile,5287715,42,64497,,5223132,32,86,19,"274,684","3,350","49,715,362","2,582,590","19,250,195",South America,4,298,0,2,,4
Malaysia,5104772,,37100,,5050356,,17316,36,"153,846","1,118","68,360,482","2,060,225","33,181,072",Asia,7,894,0,,,522
Israel,4826031,,12527,,4798473,,15031,21,"517,481","1,343","41,373,364","4,436,346","9,326,000",Asia,2,744,0,,,"1,612"
Belgium,4799762,,34350,,4761600,290,3812,43,"411,351","2,944","37,018,657","3,172,590","11,668,278",Europe,2,340,0,,,327
DPRK,4772813,,74,,4772739,,0,,"183,636",3,,,"25,990,679",Asia,5,"351,225",,,,
Thailand,4745043,,34163,,4692636,,18244,,"67,711",487,"17,270,775","246,450","70,078,203",Asia,15,"2,051",4,,,260
Canada,4681257,,52645,,4596709,"7,833",31903,99,"121,945","1,371","66,343,123","1,728,207","38,388,419",North America,8,729,1,,,831
Czechia,4642316,37,42805,,4598909,8,602,1,"432,375","3,987","57,217,444","5,329,105","10,736,784",Europe,2,251,0,3,,56
Peru,4507363,,220673,,4286690,,0,26,"133,812","6,551","38,548,796","1,144,417","33,684,208",South America,7,153,1,,,
Switzerland,4405938,,14452,,4389875,836,1611,39,"502,179","1,647","23,833,472","2,716,487","8,773,637",Europe,2,607,0,,,184
Philippines,4151079,898,66481,,4072213,944,12385,162,"36,896",591,"35,309,541","313,837","112,508,994",Asia,27,"1,692",3,8,,110
